,start,end,duration,round_epochs,loss,accuracy,f1score,val_loss,val_accuracy,val_f1score,lr,first_dropout,first_neuron,first_activation,kernel_initializer,second_neuron,second_activation,second_dropout,last_activation,optimizer,losses,batch_size,epochs
30,08/08/23-121008,08/08/23-121015,7.171677589416504,100,2.252155065536499,0.5083798766136169,0.4554513394832611,2.0062308311462402,0.6190476417541504,0.48673832416534424,0.5,0.2,12,relu,uniform,24,elu,0.0,tanh,Nadam,binary_crossentropy,200,20
31,08/08/23-121015,08/08/23-121022,6.893226861953735,100,0.787212610244751,0.7057728171348572,0.5365574359893799,0.5711707472801208,0.7359307408332825,0.6211179494857788,0.5,0.2,12,relu,uniform,24,elu,0.0,tanh,Nadam,binary_crossentropy,400,20
32,08/08/23-121022,08/08/23-121029,6.64692234992981,100,0.6236761212348938,0.659217894077301,0.4075392782688141,0.603577733039856,0.6969696879386902,0.3214285373687744,0.5,0.2,12,relu,uniform,24,elu,0.2,sigmoid,Adam,binary_crossentropy,200,20
33,08/08/23-121029,08/08/23-121035,6.2417988777160645,100,0.6229492425918579,0.6629422903060913,0.3117237389087677,0.6303078532218933,0.6580086350440979,0.31304341554641724,0.5,0.2,12,relu,uniform,24,elu,0.2,sigmoid,Adam,binary_crossentropy,400,20
34,08/08/23-121035,08/08/23-121042,7.011338233947754,100,0.5666941404342651,0.716946005821228,0.45811495184898376,0.5872988104820251,0.6839826703071594,0.3151260018348694,0.5,0.2,12,relu,uniform,24,elu,0.2,sigmoid,Nadam,binary_crossentropy,200,20
35,08/08/23-121042,08/08/23-121049,6.622734069824219,100,0.596740186214447,0.6964617967605591,0.43055009841918945,0.5939781665802002,0.6883116960525513,0.4098360240459442,0.5,0.2,12,relu,uniform,24,elu,0.2,sigmoid,Nadam,binary_crossentropy,400,20
36,08/08/23-121049,08/08/23-121056,6.585404634475708,100,5.285271167755127,0.6573556661605835,0.0,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,12,relu,uniform,24,elu,0.2,tanh,Adam,binary_crossentropy,200,20
37,08/08/23-121056,08/08/23-121102,6.251410484313965,100,4.497778415679932,0.6294227242469788,0.24631574749946594,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,12,relu,uniform,24,elu,0.2,tanh,Adam,binary_crossentropy,400,20
38,08/08/23-121102,08/08/23-121110,7.166392087936401,100,4.913202285766602,0.6629422903060913,0.03479236364364624,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,12,relu,uniform,24,elu,0.2,tanh,Nadam,binary_crossentropy,200,20
39,08/08/23-121110,08/08/23-121116,6.6612372398376465,100,3.475139856338501,0.601489782333374,0.3772204518318176,2.747384786605835,0.6536796689033508,0.4805194139480591,0.5,0.2,12,relu,uniform,24,elu,0.2,tanh,Nadam,binary_crossentropy,400,20
40,08/08/23-121117,08/08/23-121123,6.495799541473389,100,0.5994998216629028,0.6722532510757446,0.2648952901363373,0.6069832444190979,0.6753246784210205,0.25692304968833923,0.5,0.2,12,relu,uniform,24,elu,0.4,sigmoid,Adam,binary_crossentropy,200,20
41,08/08/23-121123,08/08/23-121129,6.190649509429932,100,0.5812034606933594,0.7020484209060669,0.4804193079471588,0.6028702259063721,0.709956705570221,0.510948896408081,0.5,0.2,12,relu,uniform,24,elu,0.4,sigmoid,Adam,binary_crossentropy,400,20
42,08/08/23-121130,08/08/23-121137,6.958746433258057,100,0.563657820224762,0.7039105892181396,0.3407234847545624,0.5987120866775513,0.6883116960525513,0.2733333110809326,0.5,0.2,12,relu,uniform,24,elu,0.4,sigmoid,Nadam,binary_crossentropy,200,20
43,08/08/23-121137,08/08/23-121144,7.139436483383179,100,0.5922221541404724,0.6983240246772766,0.40730610489845276,0.5924320816993713,0.6926407217979431,0.4409448504447937,0.5,0.2,12,relu,uniform,24,elu,0.4,sigmoid,Nadam,binary_crossentropy,400,20
44,08/08/23-121144,08/08/23-121151,6.552745819091797,100,5.184472560882568,0.659217894077301,0.0243386197835207,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,12,relu,uniform,24,elu,0.4,tanh,Adam,binary_crossentropy,200,20
45,08/08/23-121151,08/08/23-121157,6.190444231033325,100,3.756147623062134,0.49162012338638306,0.41474878787994385,2.643808126449585,0.588744580745697,0.4973544478416443,0.5,0.2,12,relu,uniform,24,elu,0.4,tanh,Adam,binary_crossentropy,400,20
46,08/08/23-121157,08/08/23-121204,7.0788350105285645,100,3.3320300579071045,0.5884543657302856,0.3555416762828827,2.796886444091797,0.6580086350440979,0.4981202483177185,0.5,0.2,12,relu,uniform,24,elu,0.4,tanh,Nadam,binary_crossentropy,200,20
47,08/08/23-121204,08/08/23-121211,6.624322175979614,100,1.292370080947876,0.685288667678833,0.43939778208732605,0.9004687666893005,0.6709956526756287,0.42424240708351135,0.5,0.2,12,relu,uniform,24,elu,0.4,tanh,Nadam,binary_crossentropy,400,20
48,08/08/23-121211,08/08/23-121218,6.554910898208618,100,0.5991494059562683,0.685288667678833,0.39826980233192444,0.5928059220314026,0.7186146974563599,0.41655799746513367,0.5,0.2,12,relu,uniform,36,relu,0.0,sigmoid,Adam,binary_crossentropy,200,20
49,08/08/23-121218,08/08/23-121224,6.188665151596069,100,0.58692866563797,0.6983240246772766,0.4647618532180786,0.5829360485076904,0.7056276798248291,0.5211267471313477,0.5,0.2,12,relu,uniform,36,relu,0.0,sigmoid,Adam,binary_crossentropy,400,20
50,08/08/23-121224,08/08/23-121232,7.353474140167236,100,0.5703678131103516,0.7262569665908813,0.5173377990722656,0.5873124599456787,0.6969696879386902,0.4115287661552429,0.5,0.2,12,relu,uniform,36,relu,0.0,sigmoid,Nadam,binary_crossentropy,200,20
51,08/08/23-121232,08/08/23-121238,6.6232874393463135,100,0.6071265935897827,0.659217894077301,0.05506036803126335,0.6073789596557617,0.6406926512718201,0.08791207522153854,0.5,0.2,12,relu,uniform,36,relu,0.0,sigmoid,Nadam,binary_crossentropy,400,20
52,08/08/23-121239,08/08/23-121245,6.762677907943726,100,0.9636394381523132,0.6797020435333252,0.5056493878364563,0.6668791174888611,0.7142857313156128,0.5215597152709961,0.5,0.2,12,relu,uniform,36,relu,0.0,tanh,Adam,binary_crossentropy,200,20
53,08/08/23-121246,08/08/23-121252,6.215958833694458,100,3.097165584564209,0.6294227242469788,0.4059394598007202,2.746411085128784,0.6536796689033508,0.5061727166175842,0.5,0.2,12,relu,uniform,36,relu,0.0,tanh,Adam,binary_crossentropy,400,20
54,08/08/23-121252,08/08/23-121259,7.03954291343689,100,3.5891785621643066,0.575419008731842,0.36723390221595764,3.288794994354248,0.6320346593856812,0.4443269371986389,0.5,0.2,12,relu,uniform,36,relu,0.0,tanh,Nadam,binary_crossentropy,200,20
55,08/08/23-121259,08/08/23-121306,6.725116014480591,100,4.944438457489014,0.6648044586181641,0.07857141643762589,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,12,relu,uniform,36,relu,0.0,tanh,Nadam,binary_crossentropy,400,20
