Iteration,Start Time,End Time,con_1D_filters,con_1D_kernel_size,biLSTM_units,biLSTM_dropout_rate,biLSTM2_units,learn_rate,step1,step2,step3,rate1,rate2,rate3,Train Loss,Val Loss,Train MSE,Val MSE
1,2023-08-23 15:56:05,2023-08-23 23:10:33,121,2,125,0.3336971809382996,63,0.0018338850457827853,328,1422,3858,0.0008914360466804686,0.00045585565359043727,3.7818279130394826e-05,0.04598541930317879,0.0513143427670002,0.0021215868182480335,0.002712139394134283
2,2023-08-23 23:10:33,2023-08-24 08:02:00,107,4,62,0.39606215519901355,123,0.0012990805873858307,364,1295,4043,0.00027556558707941944,0.0003592562892433562,1.47023050107877e-05,0.04553206264972687,0.05005940794944763,0.0020906312856823206,0.002577399369329214
3,2023-08-24 08:02:00,2023-08-24 22:12:35,54,3,118,0.29270921728489463,121,0.00468479087038883,361,1013,4178,0.0002283426835752244,9.575368757180108e-05,2.8403550502610418e-05,0.04534230753779411,0.051933981478214264,0.0020748302340507507,0.002782257739454508
4,2023-08-24 22:12:35,2023-08-25 05:06:15,100,2,128,0.4800238898103157,62,0.0018981385882409893,96,1404,2242,0.00019974764821299046,0.00034989923511839007,3.116349020660177e-05,0.05703612044453621,0.0535583533346653,0.0032659252174198627,0.002959647448733449
5,2023-08-25 05:06:15,2023-08-26 11:51:10,103,3,56,0.49526274576189433,142,0.0015862918528112503,198,1448,2633,0.0003222600244446251,8.308817679305219e-05,4.165314089325836e-05,0.04167921841144562,0.04932785406708717,0.0017615435644984245,0.0025099990889430046
6,2023-08-26 11:51:10,2023-08-27 08:19:01,122,3,130,0.2657308929176274,88,0.002924130236286209,222,1806,2704,0.0009053045440707314,0.00048143110462302606,3.7604748019545584e-05,0.04163699969649315,0.048862192779779434,0.0017466729041188955,0.002448596991598606
7,2023-08-27 08:19:01,2023-08-28 10:00:04,61,3,144,0.42329272750597396,122,0.0036353175964564024,332,1593,2339,0.00016069689562197193,0.0002407932577479385,2.6221047931490356e-05,0.045014265924692154,0.050429653376340866,0.0020346452947705984,0.002613140270113945
8,2023-08-28 10:00:05,2023-08-28 16:57:54,123,4,60,0.3123907416432747,130,0.0033530979264187986,450,1930,3650,0.00039853504813718173,0.0004915108861967642,2.4743219241698974e-05,0.04299983009696007,0.04831162840127945,0.001863933983258903,0.002401139587163925
